Fecha,Año,Mes,Hora,Modalidad de Entrenamiento,Categoría de Entrenamiento,Tipo de Entrenamiento,Objetivo del Entrenamiento,Distancia Total (m),Tiempo Total (m),Paladas por minuto,Ritmo (min/500m),Ritmo (min/km),Velocidad (km/h),Frecuencia Cardíaca Recomendada,Frecuencia Cardíaca Media,Calorias,Horas de Sueño,Ayuno,Café,Comentarios
29/09/2024,2024,September,Mañana,Carrera - Exterior,Entrenamiento Continuo,10km,Umbral Anaeróbico,10000,53.53,,,5.35,11.21,140-160,161,776,5:58:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
11/10/2024,2024,October,Mañana,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,7000,35.06,,,5.01,11.98,140-160,155,520,6:27:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
11/10/2024,2024,October,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,21.00,17,1.45,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
11/10/2024,2024,October,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,21.00,18,1.45,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
11/10/2024,2024,October,Mañana,Carrera - Cinta,Entrenamiento Continuo,Otros continuos,Aeróbico Base,5000,27.00,,,5.40,11.11,120-140,140,361,8:28:00,Ayuno con Fruta o Batido,Sí,Me dolía la rodilla y no quise forzar
11/10/2024,2024,October,Media Mañana,Ergómetro,Test,2000,Anaeróbico Alta Intensidad (HIIT),2000,6.50,25,1.38,,,160-Máx,,,7:00:00,Ayuno con Fruta o Batido,Sí,Test después de sesión de piernas
11/10/2024,2024,October,Tarde,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,8700,46.00,,,5.29,11.35,140-160,156,685,8:38:00,No,Sí,Circuito Cardanachama
11/10/2024,2024,October,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),3530,15.00,22,2.07,,,160-Máx,160,200,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
11/10/2024,2024,October,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),3718,15.00,22,2.01,,,160-Máx,162,222,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
11/10/2024,2024,October,Tarde,Carrera - Exterior,Entrenamiento Continuo,40 minutos,Aeróbico Base,7500,40.00,,,5.33,11.25,120-140,145,560,8:16:00,No,Sí,2º Entrenamiento del día - Carrera Cardanachama suave 40 minutos
09/11/2024,2024,November,Mañana,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,7000,35.06,,,5.01,11.98,140-160,155,520,6:27:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
09/11/2024,2024,November,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,22.00,17,1.50,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
09/11/2024,2024,November,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,20.00,18,1.40,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
09/11/2024,2024,November,Mañana,Carrera - Cinta,Entrenamiento Continuo,Otros continuos,Aeróbico Base,5000,26.00,,,5.20,11.54,120-140,140,361,8:28:00,Ayuno con Fruta o Batido,Sí,Me dolía la rodilla y no quise forzar
09/11/2024,2024,November,Media Mañana,Ergómetro,Test,2000,Anaeróbico Alta Intensidad (HIIT),2000,6.45,25,1.37,,,160-Máx,,,7:00:00,Ayuno con Fruta o Batido,Sí,Test después de sesión de piernas
09/11/2024,2024,November,Tarde,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,8700,45.00,,,5.17,11.60,140-160,156,685,8:38:00,No,Sí,Circuito Cardanachama
09/11/2024,2024,November,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),4000,14.00,22,1.45,,,160-Máx,160,200,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
09/11/2024,2024,November,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),3800,14.00,22,1.51,,,160-Máx,162,222,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
09/11/2024,2024,November,Tarde,Carrera - Exterior,Entrenamiento Continuo,40 minutos,Aeróbico Base,7200,40.00,,,5.56,10.80,120-140,145,560,8:16:00,No,Sí,2º Entrenamiento del día - Carrera Cardanachama suave 40 minutos
07/12/2024,2024,December,Mañana,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,7500,35.06,,,4.67,12.84,140-160,155,520,6:27:00,Ayuno Estricto (Autofagia),Sí,Málaga Paseo Marítimo
07/12/2024,2024,December,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,20.00,17,1.40,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
07/12/2024,2024,December,Mañana,Ergómetro,Series Largas,2x6000,Umbral Anaeróbico,6000,21.00,18,1.45,,,140-160,150,325,8:48:00,Ayuno con Fruta o Batido,Sí,Vuelta de Vacaciones
07/12/2024,2024,December,Mañana,Carrera - Cinta,Entrenamiento Continuo,Otros continuos,Aeróbico Base,6000,25.00,,,4.17,14.40,120-140,140,361,8:28:00,Ayuno con Fruta o Batido,Sí,Me dolía la rodilla y no quise forzar
07/12/2024,2024,December,Media Mañana,Ergómetro,Test,2000,Anaeróbico Alta Intensidad (HIIT),2000,6.45,25,1.37,,,160-Máx,,,7:00:00,Ayuno con Fruta o Batido,Sí,Test después de sesión de piernas
07/12/2024,2024,December,Tarde,Carrera - Exterior,Entrenamiento Continuo,Otros continuos,Umbral Anaeróbico,8700,45.00,,,5.17,11.60,140-160,156,685,8:38:00,No,Sí,Circuito Cardanachama
07/12/2024,2024,December,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),4500,14.00,22,1.33,,,160-Máx,160,200,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
07/12/2024,2024,December,Mañana,Ergómetro,Pirámides,1-2-3-2-1,Anaeróbico Alta Intensidad (HIIT),4000,14.00,22,1.45,,,160-Máx,162,222,8:16:00,Ayuno con Fruta o Batido,Sí,Pirámides con 1 minuto suave entre subidas y 5 de descanso entre series
07/12/2024,2024,December,Tarde,Carrera - Exterior,Entrenamiento Continuo,40 minutos,Aeróbico Base,7200,40.00,,,5.56,10.80,120-140,145,560,8:16:00,No,Sí,2º Entrenamiento del día - Carrera Cardanachama suave 40 minutos
